category,air_date,category
"""B"" FORE ""N"" AFTER",12/23/09,5
"""B"" FORE & AFTER",4/28/09,5
"""B"" GIRLS",3/9/98,5
"""B"" HAPPY",2/8/08,5
"""B"" IN BIOLOGY",1/16/98,5
"""B"" IN FASHION",11/22/06,5
"""B"" IN FASHION",2/1/06,5
"""B"" IN FASHION",9/27/10,5
"""B"" IN GEOGRAPHY",1/31/03,5
"""B"" IN GEOGRAPHY",10/13/99,5
"""B"" IN GEOGRAPHY",5/26/99,5
"""B"" IN LITERATURE",11/16/92,5
"""B"" IN ROCK",6/28/01,5
"""B"" IN SCIENCE",10/10/05,5
"""B"" IS FOR BARD",12/20/07,5
"""B"" KEEPING",12/21/10,5
"""B"" MOVIES",6/13/06,5
"""B"" MOVIES",9/17/01,5
"""B"" MOVIES",9/21/84,5
"""B"" PLUS",10/5/07,5
"""B"" PLUS",11/9/05,5
"""B"" PLUS",5/23/08,5
"""B"" PREPARED",10/12/06,5
"""B"" PREPARED",10/28/05,5
"""B"" PREPARED",2/18/09,5
"""B"" PREPARED",3/3/00,5
"""B"" PREPARED",4/16/04,5
"""B"" PREPARED",5/16/07,5
"""B"" SHARP",2/22/08,5
"""B"" SHARP",4/9/01,5
"""B"" SHARP",5/19/08,5
"""B"" SHARP",5/21/02,5
"""B"" SURE",2/19/01,5
"""B"" THERE",6/5/02,5
"""B"" WEAR",3/15/11,5
"""B"" WITH ""U""",10/11/00,5
"""B"" WORDS",1/17/96,5
"""B"" WRITERS",6/15/07,5
"""B"" YOUR BEST",4/29/08,5
"""B"" YOURSELF",11/16/99,5
"""B""-'52s",11/29/00,5
"""B""4",4/29/11,5
"""B""EAUTIFUL",11/30/01,5
"""B""EGINNINGS",7/1/04,5
"""B""ELIEVE IT OR NOT",2/3/00,5
"""B""EOPLE",10/26/04,5
"""B""EOPLE",4/24/08,5
"""B""OOKS",9/29/11,5
"""B""s",10/12/07,5
"""B""s DO IT",1/14/98,5
"""B""s ON BOTH ENDS",12/26/97,5
"""B""s ON BOTH ENDS",5/17/10,5
"""B-I""",6/1/06,5
"""B-L-T""",2/24/03,5
"""B-U-T"" FULL",12/19/08,5
"""B.B.""s",10/24/00,5
"""B.B.""s",3/27/01,5
"""B.C.""",1/15/98,5
"""B.C.""",11/9/09,5
"""B.O.""",2/7/86,5
"""B.S.""",3/1/00,5
"""BABY"" SONGS",12/26/89,5
"""BABY"" TALK",12/29/10,5
"""BACK"" TO SCHOOL",5/7/09,5
"""BACK"" WORDS",2/21/01,5
"""BACK"" WORDS",5/8/00,5
"""BAD"" HABITS",9/19/07,5
"""BAD"" MOVIES",7/15/98,5
"""BAG"" 'EM UP",4/28/99,5
"""BAN""",6/7/00,5
"""BAND""s",7/7/05,5
"""BAR"" TRIVIA",5/10/05,5
"""BARN""S",4/4/08,5
"""BAT"" TOOLS",10/14/09,5
"""BB"" BOOKS",12/21/09,5
"""BEA""S",12/17/96,5
"""BEAN""S",6/20/01,5
"""BEE"" HAPPY",6/3/11,5
"""BEFORE"" & ""AFTER""",1/24/96,5
"""BEFORE"" & ""AFTER""",10/20/03,5
"""BEL""LISSIMO!",10/26/01,5
"""BELL""ISSIMO!",1/18/00,5
"""BELL""s & ""WHISTLE""s",10/14/97,5
"""BELL""s ARE RINGING",1/5/07,5
"""BERT""DAYS",12/28/04,5
"""BEST"" SELLERS",11/7/08,5
"""BI"" WORDS",10/25/02,5
"""BI""-BYE",11/21/01,5
"""BI""OLOGY",6/8/05,5
"""BI""WORDS",10/4/96,5
"""BIG"" & ""LITTLE""",9/10/03,5
"""BIG"" DEAL",3/14/05,5
"""BIG"" LOVE",6/5/08,5
"""BIG"" STUFF",4/22/99,5
"""BIG"" STUFF",7/28/11,5
"""BIO""",2/7/06,5
"""BIO"" SCIENCE",9/13/06,5
"""BIO""LOGY",6/23/97,5
"""BIRD"" IS THE WORD",3/22/11,5
"""BLACK"" & ""WHITE""",3/25/97,5
"""BLACK"" & ""WHITE"" FILMS",5/15/00,5
"""BLACK"" & ""WHITE"" MOVIES",1/11/07,4
"""BLACK"" MOVIES",1/23/90,5
"""BLACK"" OR ""WHITE""",6/11/02,5
"""BLIND"" LEADING THE BLIND",12/13/11,5
"""BLUE""",6/7/99,5
"""BLUE"" MOVIES",12/15/00,5
"""BLUE"" MOVIES",12/24/09,5
"""BLUE"" MOVIES",4/17/90,5
"""BLUE"" PLATE SPECIAL",6/12/06,5
"""BO"" KNOWS",4/11/06,5
"""BO"" KNOWS",6/16/00,5
"""BO""-POURRI",6/16/04,5
"""BO""POURRI",3/12/09,5
"""BO""s",3/3/08,5
"""BOARD""",9/6/04,5
"""BON"" APPETIT",10/29/10,5
"""BOO""!",1/10/90,5
"""BOO""!",12/27/02,5
"""BOO""!",3/13/07,5
"""BOO""!",3/31/98,5
"""BOOK""S",1/13/86,5
"""BOOK""S",6/1/06,5
"""BOOT"" CAMP",7/1/99,5
"""BOR""-ING",7/21/00,5
"""BOR""-ING!",2/9/10,5
"""BOR""ING",6/17/99,5
"""BOT"" OF COURSE",6/24/09,5
"""BOTTOM""S UP",9/3/97,5
"""BOX"" LUNCH",12/31/93,5
"""BOY"" MOVIES",6/4/02,5
"""BR-R""",2/10/11,5
"""BRAIN"" SURGERY",4/30/98,5
"""BRAND"" NAMES",6/9/00,5
"""BRIL""-LIANT!",5/23/05,5
"""BU"" WHO",3/7/03,5
"""BUCK"" EYES",10/14/10,5
"""BUD""",4/13/09,4
"""BULL""-Y!",5/31/11,5
"""BUR"" BANK",3/12/10,5
"""BUSH""-ISMS",1/11/06,5
"""BUT"" OF COURSE",10/28/97,5
"""BUZZ"" IN",3/30/10,5
"""BY""",12/20/05,5
"""BY"" NOW",12/18/09,5
"""C"" BIRDS",12/15/00,5
"""C"" BIRDS",3/4/08,5
"""C"" CREATURES",1/27/03,5
"""C"" CREATURES",11/2/09,5
"""C"" CREATURES",12/25/08,5
"""C"" CREATURES",5/22/98,5
"""C"" DUTY",2/24/09,5
"""C"" DUTY",4/11/08,5
"""C"" DUTY",9/9/02,5
"""C"" FOOD",11/23/06,5
"""C"" FOOD",12/16/05,5
"""C"" FOOD",2/23/04,5
"""C"" FOOD",5/8/06,5
"""C"" FOOD",6/18/01,5
"""C"" FOR YOURSELF",1/30/03,5
"""C"" HERE",3/31/93,5
"""C"" HERE",4/28/10,5
"""C"" HERE",9/26/89,5
"""C"" IN BIOLOGY",1/25/07,5
"""C"" IN COOKING",3/16/05,5
"""C"" IN GEOGRAPHY",11/14/89,5
"""C"" IN GEOGRAPHY",11/16/88,5
"""C"" IN GEOGRAPHY",3/22/01,5
"""C"" IN GEOGRAPHY",6/16/97,5
"""C"" IN HISTORY",10/24/07,5
"""C"" IN HISTORY",4/29/99,5
"""C"" IN HISTORY",9/30/97,5
"""C"" IN PHYSICS",4/28/08,5
"""C"" IN SCIENCE",12/14/11,5
"""C"" IN SCIENCE",12/14/92,5
"""C"" IN SCIENCE",4/9/10,5
"""C"" IN SCIENCE",5/3/02,5
"""C"" IN SCIENCE",9/10/03,5
"""C"" IN SHAKESPEARE",4/27/05,5
"""C"" IN SHAKESPEARE",5/29/06,5
"""C"" IN SHAKESPEARE",6/4/07,5
"""C"" IN SHAKESPEARE",7/3/08,5
"""C"" IS FOR CATHOLIC",12/7/09,5
"""C"" IS FOR COOKIE",5/20/04,5
"""C"" IS FOR COOKING",5/7/03,5
"""C"" IT, SAY IT",1/26/11,5
"""C"" ME",12/6/04,5
"""C"" ME",3/28/01,5
"""C"" ME",7/10/07,5
"""C"" OF LOVE",6/1/98,5
"""C"" PLUS",1/4/01,5
"""C"" PLUS",12/7/06,5
"""C"" PLUS",7/25/06,5
"""C"" POTPOURRI",3/28/07,5
"""C"" SERPENTS",4/13/11,5
"""C"" SHARP",7/9/08,5
"""C"" THE U.S.A.",1/30/98,5
"""C"" THE WORLD",10/29/97,5
"""C"" TO SHINING ""C""",7/17/98,5
"""C"" WHO SALUTES",6/30/99,5
"""C"" WORLD",4/29/04,5
"""C"" WORLD",5/23/11,5
"""C"" YOU AT THE MOVIES",11/11/92,5
"""C"" YOU AT THE MOVIES",4/10/97,5
"""C""-SECTION",12/19/08,5
"""C""HEESE",9/24/07,5
"""C""INEMA",1/10/08,1
"""C""LASSICAL MUSICIANS",7/10/08,5
"""C""OLLEGES & UNIVERSITIES",10/30/06,5
"""C""OMEDIANS",3/7/03,5
"""C""OMMON BONDS",1/23/98,5
"""C""OMPANIES",12/11/09,5
"""C""OOKING",4/14/09,5
"""C""OUNTRIES",10/14/08,5
"""C""OUNTRIES",10/19/09,5
"""C""OUNTRIES",6/10/04,5
"""C""OUNTRIES",6/27/06,5
"""C""REATURES",11/21/96,5
"""C""ULINARY CROSSWORD CLUES",4/2/10,5
"""C""s",10/9/00,5
"""C""s THE DAY",9/22/10,5
"""C-E-S""",3/18/09,5
"""C-P-R""",10/26/10,3
"""C.B.""",3/1/01,5
"""C.C."" SENOR",3/27/98,5
"""C.C."" SENOR!",5/29/03,5
"""C.D.""",12/3/01,3
"""C.D.""s",4/26/99,3
"""C.S."", I",2/21/05,5
"""CAB""",10/19/01,5
"""CAL"" OF THE WILD",3/4/08,4
"""CAL"" STATE",12/14/99,5
"""CAMP""",11/9/04,5
"""CAN"" IT!",2/1/01,5
"""CAN"" OPENER",11/30/05,5
"""CAN"" WE TALK?",7/14/04,5
"""CAN""NED WORDS",2/1/08,5
"""CAN""NED WORDS",5/22/03,3
"""CAP"" & ""GOWN""",12/19/97,5
"""CAPE""s",6/6/00,5
"""CAR"" PARK",11/22/99,4
"""CAR"" TALK",1/9/06,5
"""CAT"" EGORY",2/8/85,5
"""CAT"" GOT YOUR ANSWER",12/8/05,5
"""CAT"" GOT YOUR TONGUE?",3/13/98,5
"""CAT""ECHISM",1/8/01,5
"""CAT""s & ""DOG""s",11/11/98,5
"""CC"" ME ON THAT",10/11/04,5
"""CEL""EBRITY WORDS",4/16/10,5
"""CENTER"" FIELD",9/25/09,5
"""CH""ECK THE NAME",7/25/08,5
"""CH""ILL OUT!",3/30/11,5
"""CH""ITCHAT",11/4/02,5
"""CHA""",7/8/04,5
"""CHA"" CHA CHA",4/7/98,5
"""CHA""RADE",5/26/00,5
"""CHAIN""S",11/17/89,5
"""CHAR""MED WORDS & PHRASES",3/5/99,5
"""CHARM""ED, I'M SURE",4/28/11,5
"""CHAT"" ROOM",12/21/00,5
"""CHECK"" MATE",12/1/09,5
"""CHECK"" PLEASE",4/24/98,5
"""CHI"" CHI",2/7/08,5
"""CHIN"" MUSIC",12/24/09,5
"""CHIN"" UP",10/31/05,5
"""CHOP!""",4/20/10,5
"""CHRISTMAS"" MOVIES",12/11/02,5
"""CHURCH"" & ""STATE""",2/15/11,5
"""CIRCUM""-NAVIGATING",4/29/10,5
"""CK""",6/19/00,5
"""CK"", THE CATEGORY",2/2/06,5
"""CL""UE ME IN",4/19/10,5
"""CLUB"" ME",11/18/99,5
"""CO"" CO.s",10/14/10,5
"""COL""LEGE",5/11/09,5
"""COLD"" CASE",2/24/05,5
"""COLOR"" MOVIES",10/16/97,5
"""COLOR""FUL ANSWERS",4/7/88,5
"""COM""",9/30/05,5
"""COME""",5/2/00,3
"""CON"" GAME",1/14/04,5
"""CON"" GAME",11/29/07,5
"""CON""SARNIT",12/22/09,5
"""CON""s",11/4/10,5
"""CON""s",4/3/98,5
"""COOL"", DUDE!",4/22/04,5
"""COP""s",4/27/04,5
"""COURT"" BRIEFS",5/31/05,5
"""CO___ED""",5/1/09,5
"""CROSS"" TALK",1/20/10,5
"""CROSS"" WORD CLUES",5/18/01,5
"""CROSS""TALK",11/3/97,5
"""CRY""ING SONGS",2/5/86,5
"""CU""",2/16/09,5
"""CU""",4/16/98,5
"""CUS"" WORDS",11/28/00,5
"""CUS"" WORDS",12/22/11,5
"""CUT"" ONCE",11/3/00,5
"""D""",3/11/98,5
"""D"" AS...",7/7/08,5
"""D"" BRIEFING",10/3/07,5
"""D"" BRIEFING",12/15/10,5
"""D"" BRIEFING",6/20/06,5
"""D"" CATEGORY",10/17/02,5
"""D"" COMPOSING",2/2/04,4
"""D"" DAY",2/3/06,5
"""D"" DAY",3/1/04,5
"""D"" DAY",4/29/05,5
"""D"" DAY",6/6/01,5
"""D"" FACTO",10/15/04,5
"""D"" FACTO",3/23/07,5
"""D"" IN COOKING",11/19/96,5
"""D"" IN COOKING",3/16/98,5
"""D"" IN HISTORY",5/23/00,5
"""D"" IN LITERATURE",5/24/89,5
"""D"" IN MATH",2/15/08,5
"""D"" IN SCIENCE",10/1/97,5
"""D"" IN SCIENCE",3/11/08,5
"""D"" IN SCIENCE",5/11/07,5
"""D"" IN SCIENCE",6/25/08,5
"""D"" IN SCIENCE",7/24/06,5
"""D"" MEN",5/26/06,5
"""D"" MEN OF HISTORY",1/30/09,5
"""D"" TALKS",3/25/03,5
"""D"" TALKS",6/27/08,5
"""D"" TIME",1/21/03,5
"""D"" TOUR",9/20/01,5
"""D""-RIGEUR",11/24/05,5
"""D""-VIDE",10/10/06,5
"""D""LIGHTFUL",11/18/99,3
"""D""OUBLE TALK",5/22/02,5
"""D""RINKS",4/2/08,5
"""D""SERT",1/29/99,5
"""D""UDE!",4/5/06,5
"""D-O""",12/29/11,5
"""D.C.""",10/31/02,5
"""D.C.""",4/24/87,4
"""D.C.""",5/14/04,4
"""D.P.""",12/16/09,5
"""DA""",9/22/11,5
"""DAD""",9/21/06,5
"""DAL"" US",3/8/04,5
"""DAVID""s",5/26/86,5
"""DAY"" & ""NIGHT""!",4/30/98,5
"""DAY"" OR ""NIGHT""",3/26/99,5
"""DAY"" SONGS",4/5/96,5
"""DAY""S OF WRATH",10/14/98,5
"""DD"" TEA",5/21/08,5
"""DE"" ARTS",3/7/05,5
"""DEAD"" RECKONING",6/9/05,5
"""DEAD"" TO THE WORLD",6/25/98,5
"""DEATH""",3/13/08,5
"""DEATH""",7/16/04,5
"""DEATH"" PENALTY",1/8/99,5
"""DEC"" ME",4/17/01,5
"""DEC"" THE HALLS",12/20/07,5
"""DEEP"" DISH",11/11/04,5
"""DELTA""",7/10/00,5
"""DEM""-ONS",2/27/06,5
"""DEN""MARK",3/8/07,5
"""DI"" HARD",4/29/09,5
"""DIAMOND""S",9/29/00,5
"""DIAMOND""s IN THE ROUGH",7/6/04,5
"""DIC""-TIONARY",4/8/08,5
"""DIS"" FUNCTION",11/27/08,5
"""DIS"" IS FOR REAL!",7/20/99,5
"""DIS""INTEGRATION",3/7/01,5
"""DO"", ""RE"", ""MI""",3/23/01,5
"""DOLLAR""S & ""CENT""S",1/29/03,5
"""DOLLAR""S & ""CENT""S",10/12/10,5
"""DON'T"" FORGET THIS SONG",11/6/04,5
"""DON'T"" YOU KNOW THIS SONG?",4/21/06,5
"""DOO""D!",11/18/02,5
"""DOUBLE"" DARE",4/26/07,5
"""DOUBLE"" JEOPARDY",10/3/97,5
"""DOUBLE"" JEOPARDY",11/12/96,5
"""DOUBLE"" OR ""NOTHING""",7/10/98,5
"""DOUBLE"" TROUBLE",7/3/02,5
"""DOWN"" THE HATCH",9/28/98,5
"""DREAM""Y SONGS",6/3/99,5
"""DRESS""ED",1/12/05,5
"""DROP"" IT, BUSTER!",5/27/11,5
"""DUCK SOUP""",9/14/98,3
"""E"" BAY",6/5/01,5
"""E"" BAY",7/13/07,5
"""E"" BAY",7/27/06,5
"""E"" CHANNEL",12/14/04,5
"""E"" DAY",3/28/11,5
"""E"" DOCK",3/6/01,5
"""E"" FOR EFFORT",1/15/08,5
"""E"" FOR EFFORT",11/24/08,5
"""E"" FOR EFFORT",2/15/10,5
"""E"" FOR EFFORT",9/10/99,5
"""E"" GAD!",9/25/08,5
"""E"" GADS!",3/17/05,5
"""E"" HARMONY",4/19/07,5
"""E"" IN SCIENCE",3/3/10,5
"""E"" MALE",10/13/00,5
"""E"" MALE",5/26/04,5
"""E"" TICKET",5/13/03,5
"""E"" TIMES 3",9/17/09,5
"""E""-BOOKS",4/12/11,5
"""E""-MALE",12/21/06,5
"""E""-MALE",7/12/02,5
"""E""ASY DOES IT",10/27/08,5
"""E""ASY DOES IT",12/27/96,5
"""E""COLLEGEY",4/30/07,5
"""E""OGRAPHY",10/22/98,5
"""E""OGRAPHY",2/7/08,5
"""E""OGRAPHY",3/16/00,5
"""E""OGRAPHY",6/4/04,5
"""E""PICS",3/16/04,5
"""E.B.""",9/27/02,5
"""E.T.""",9/18/01,5
"""EAK"" FOR YOURSELF",6/18/10,5
"""EARS"" TO YOU",7/18/11,5
"""EAST""",1/19/10,5
"""EAST""",6/27/08,5
"""EASY""",12/12/84,5
"""EASY"" FOR YOU TO SAY",1/14/05,5
"""EASY"" QUESTIONS",9/11/97,5
"""EAT"" IT",3/27/00,4
"""EAU"" K",1/3/11,5
"""EAU"" YEAH!",10/19/99,5
"""EAU"", YEAH!",5/7/03,5
"""ECO"" FRIENDLY",1/28/09,5
"""ED""-UCATION",10/15/02,5
"""EE""",1/26/09,5
"""EE""",9/11/03,5
"""EEK"" CITY",11/21/05,5
"""EEL"" OF FORTUNE",2/27/03,5
"""EEN""",10/26/09,5
"""EER""s",6/17/11,5
"""EGO"" MANIAC",4/18/08,5
"""EH""?",12/30/10,5
"""EL""-WAY",1/5/09,5
"""EMP"" TV",1/18/05,5
"""EN"" THE BEGINNING",12/9/05,5
"""EN"" THE BEGINNING",5/10/02,5
"""EN""CHANTED",7/21/08,5
"""END"" AT THE BEGINNING",11/5/97,5
"""EPI"" CURIOUS",9/20/06,5
"""EPI""SODES",6/2/04,5
"""EQ"" TEST",7/21/05,5
"""ER""",12/10/10,5
"""ER""",6/17/03,5
"""ERE""Y WORDS",10/15/98,5
"""ERE""Y WORDS",10/20/10,5
"""ET"" AL.",9/22/97,5
"""EU"" FIRST",4/11/11,5
"""EU"" VEY!",5/18/10,5
"""EURO""TALK",4/18/01,5
"""EVE""",6/3/10,5
"""EVE""NING",12/4/07,5
"""EVER""S",7/13/11,5
"""EVER""s",12/7/98,5
"""EVO""LUTION",3/6/06,5
"""EX"" RATED",2/25/03,5
"""EX"" WORDS",11/23/06,5
"""EX"" WORDS",6/19/00,5
"""EX"" WORDS",6/26/97,5
"""EX""ACTLY",12/11/08,5
"""EX""CELLENT",1/22/08,4
"""EX""ODUS",3/22/07,5
"""EX""TRA CREDIT",5/23/97,5
"""EX""TRA!",4/15/08,5
"""EXTRA"" HELPINGS",6/8/04,5
"""EYE"" GUESS",7/1/98,5
"""EYE"" SEE",11/27/00,5
"""EYE"", MATEY!",10/17/07,5
"""EZ"" DOES IT",1/11/99,5
"""EZ"" DOES IT",2/18/98,5
"""EZ"" DOES IT",5/1/00,5
"""F""",9/6/00,5
"""F"" I DO SAY SO",1/2/09,5
"""F"" IN ANATOMY",12/7/05,5
"""F"" IN GEOGRAPHY",10/13/10,5
"""F"" IN GEOGRAPHY",2/5/01,5
"""F"" IN GEOGRAPHY",6/11/01,5
"""F"" IN MATH",1/19/90,5
"""F"" IN SPELLING",4/10/98,5
"""F"" IS FOR FYSICS",10/13/08,5
"""F"" STOP",11/2/07,5
"""F"" STOP",2/2/06,5
"""F"" STOP",6/11/07,5
"""F"" STOP",7/19/05,5
"""F"" TROOP",10/23/09,5
"""F"" TROOP",11/26/99,5
"""F"" TROOP",3/14/03,5
"""F"" TRUE HOLLYWOOD STORY",3/2/04,5
"""F"" WORDS",1/6/05,5
"""F"" WORDS",2/6/86,5
"""F"" WORDS",6/24/98,5
"""F"" WORDS",7/19/99,5
"""F""EMALES",2/20/07,5
"""F""INE ART",5/22/07,5
"""F""IVE-LETTER WORDS",3/17/11,5
"""F""OOD",4/16/08,5
"""F""OOD",6/12/03,5
"""F""OOD STUFF",3/22/06,5
"""F""OOD WORD ORIGINS",3/4/05,5
"""F""OODSTUFFS",6/2/10,5
"""F""RIENDS OF SCIENCE",7/13/06,5
"""F.F.""",12/3/99,5
"""F.M.""",11/28/08,2
"""FACE"" BOOK",12/4/09,5
"""FACE""/""OFF""",4/22/10,5
"""FALL""",4/28/00,5
"""FAN"" CLUB",7/22/05,5
"""FAST"" OR ""SLOW""",12/2/88,5
"""FE"", ""FI"", ""FO"" OR ""FUM""",6/12/08,5
"""FEE"", ""FI"", ""FO"", ""FUM""",9/9/97,5
"""FER""GIE",1/25/08,5
"""FF""",12/3/99,5
"""FI""",4/21/99,5
"""FIELD""",1/2/98,5
"""FIELD"" OF DREAMS",4/14/04,5
"""FINAL"" JEOPARDY!",1/24/03,5
"""FINGER"" EXERCISE",3/31/05,5
"""FIRE""WORKS",7/4/00,5
"""FIRST"" CHRONICLES",1/3/11,5
"""FIRST"" PHRASES",12/9/11,1
"""FIT""NESS",4/13/06,5
"""FLY"" RIGHT",1/26/99,5
"""FLYING""",2/25/02,5
"""FOO"" FIGHTERS",7/15/10,5
"""FOO"" FINDERS",1/25/06,5
"""FOOL"" HOUSE",11/26/01,5
"""FOOL""ISH SONGS",4/1/97,5
"""FOOL""ISHNESS",9/8/98,5
"""FOR"" WORDS",11/2/88,5
"""FOR"" WORDS",9/11/08,5
"""FOR"" WORDS & ""BACK"" WORDS",6/22/99,5
"""FORE""",1/19/05,5
"""FORE""!",2/4/11,5
"""FORT""s",10/18/89,5
"""FOUR"" WORDS",11/9/88,5
"""FOURTH""",7/2/99,5
"""FRAN""S",10/8/09,5
"""FRE""-DOM",12/9/04,5
"""FREE"" ENTERPRISE",7/24/06,5
"""FREE"" PARKING",12/7/05,5
"""FREE"" PLAY",4/27/10,5
"""FRIC"" OR ""FRAC""",6/1/11,5
"""FU""",4/9/01,5
"""FU"" ON YOU",4/13/04,5
"""FUL"" HOUSE",6/12/01,5
"""FULL"" HOUSE",1/25/05,5
"""FUN"" IN",11/17/11,5
"""FUN"" WORDS",1/15/97,5
"""G""",4/29/09,5
"""G"" FORCE",10/24/06,5
"""G"" FORCE",12/21/04,5
"""G"" FORCE",5/13/04,5
"""G"" IN THE GOOD BOOK",2/22/10,5
"""G"" MEN",1/8/04,5
"""G"" MEN",10/18/00,5
"""G"" MEN",10/22/10,5
"""G"" MEN",11/15/90,5
"""G"" MEN",2/6/04,5
"""G"" MEN",7/17/00,5
"""G"" MOVIES",12/25/97,5
"""G"" MOVIES",6/23/98,5
"""G"" MOVIES",9/16/04,5
"""G"" PEOPLE",5/25/05,5
"""G"" WHAT A COUNTRY",9/30/11,5
"""G"" WHIZ",1/10/07,5
"""G"" WHIZ",1/26/90,5
"""G"" WHIZ",10/6/08,5
"""G"" WHIZ",11/14/95,5
"""G"" WHIZ",11/30/07,5
"""G"" WHIZ",11/5/08,5
"""G"" WHIZ",2/5/93,5
"""G"" WHIZ",4/3/00,5
"""G"" WHIZ",5/16/90,5
"""G"" WHIZ",5/28/04,5
"""G"" WHIZ!",1/5/98,5
"""G"" WHIZ!",10/28/02,5
"""G"" WHIZ!",2/8/99,5
"""G"" WHIZ!",4/24/97,5
"""G"" WHIZ!",5/29/98,5
"""G"" WHIZ!",6/11/99,5
"""G"" WHIZ!",6/25/08,5
"""G"" WHIZ!",9/11/98,5
"""G"", LOOK AT THAT",12/14/11,5
"""G"", THAT'S INTERESTING",12/5/97,5
"""G""-5",1/8/10,5
"""G""-MALE",4/5/10,5
